episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
287,72.01,0.0,100.0,280.61,10.72,17.51,0.13,0.07
288,67.7,0.0,100.0,323.71,14.24,12.1,0.16,0.08
289,66.21,0.0,100.0,338.58,2.8,35.93,0.34,0.07
290,69.1,0.0,100.0,309.73,10.75,17.37,0.46,0.07
291,65.16,0.0,100.0,349.08,2.22,36.42,0.25,0.08
292,69.86,0.0,100.0,302.08,4.07,25.53,0.31,0.07
293,64.06,0.0,100.0,360.02,9.28,27.97,0.18,0.07
294,64.89,0.0,100.0,351.72,14.2,12.55,0.26,0.07
295,61.65,0.0,100.0,384.1,7.3,18.83,0.23,0.08
296,62.95,0.0,100.0,371.12,10.9,14.16,0.4,0.08
297,78.41,0.0,100.0,216.72,6.43,28.0,0.27,0.08
298,48.76,0.06,94.0,418.06,2.76,36.13,0.21,0.06
299,75.97,0.0,100.0,241.03,2.61,39.28,0.34,0.07
300,76.2,0.0,100.0,238.76,1.93,32.24,0.11,0.07
301,63.15,0.0,100.0,369.11,7.21,27.22,0.22,0.07
302,65.1,0.0,100.0,349.64,2.55,37.78,0.33,0.07
303,-55.44,0.69,31.0,562.89,5.0,25.34,0.32,0.05
304,73.02,0.0,100.0,270.56,4.42,33.53,0.11,0.07
305,21.17,0.26,74.0,363.15,4.93,24.57,0.4,0.06
306,76.64,0.0,100.0,234.32,10.08,19.15,0.03,0.08
307,76.82,0.0,100.0,232.53,9.96,21.57,0.09,0.07
308,66.73,0.0,100.0,333.4,7.95,21.99,0.28,0.07
309,67.25,0.0,100.0,328.21,8.16,25.49,0.22,0.08
310,66.32,0.0,100.0,337.43,9.11,21.47,0.38,0.08
311,66.99,0.03,97.0,279.13,6.01,26.32,0.15,0.07
312,71.35,0.0,100.0,287.18,5.5,27.82,0.06,0.07
313,63.38,0.0,100.0,366.82,4.12,35.81,0.35,0.07
314,51.88,0.05,95.0,401.83,7.94,21.67,0.25,0.08
315,62.69,0.0,100.0,373.76,9.28,22.43,0.27,0.07
316,64.41,0.0,100.0,356.52,6.38,29.4,0.07,0.07
317,70.14,0.0,100.0,299.3,5.12,31.72,0.17,0.08
318,58.33,0.0,100.0,417.31,8.46,24.31,0.37,0.07
319,57.3,0.02,98.0,395.48,3.53,34.11,0.19,0.07
320,58.96,0.01,99.0,394.99,4.63,32.28,0.19,0.08
321,22.66,0.23,77.0,407.54,6.88,21.38,0.46,0.06
322,74.2,0.0,100.0,258.76,6.8,31.74,0.06,0.08
323,57.72,0.0,100.0,423.4,11.45,13.83,0.42,0.07
324,65.6,0.0,100.0,344.67,9.4,23.46,0.26,0.07
325,27.4,0.27,73.0,474.53,1.62,34.22,0.22,0.06
326,61.17,0.0,100.0,388.88,11.9,13.77,0.29,0.07
327,14.89,0.24,76.0,488.86,3.49,31.4,0.41,0.07
328,67.25,0.0,100.0,328.12,9.16,20.88,0.09,0.06
329,50.88,0.03,97.0,445.1,4.09,31.34,0.41,0.07
330,64.56,0.0,100.0,355.06,8.82,25.03,0.16,0.1
331,54.68,0.08,92.0,319.36,6.4,23.17,0.15,0.07
332,70.1,0.0,100.0,299.66,2.87,35.09,0.26,0.1
333,67.64,0.0,100.0,324.27,3.83,28.18,0.24,0.08
334,86.14,0.0,100.0,139.48,8.82,22.57,0.2,0.1
335,14.93,0.26,74.0,447.38,2.08,27.25,0.49,0.06
336,54.04,0.04,96.0,396.06,4.19,30.86,0.13,0.06
337,60.58,0.03,97.0,345.19,2.93,34.69,0.12,0.07
338,69.1,0.0,100.0,309.65,5.8,30.98,0.57,0.07
339,60.69,0.0,100.0,393.72,5.64,27.49,0.21,0.07
