episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
327,34.84,0.0,100.0,651.92,16.0,8.58,0.75,0.07
328,72.04,0.0,100.0,280.31,16.0,10.44,0.75,0.07
329,29.14,0.0,100.0,708.85,16.0,8.23,0.75,0.08
330,48.21,0.0,100.0,518.36,16.0,10.04,0.75,0.07
331,58.15,0.0,100.0,419.05,16.0,10.28,0.75,0.07
332,54.24,0.0,100.0,458.19,4.0,34.9,0.67,0.07
333,26.22,0.0,100.0,738.05,8.0,19.88,0.75,0.07
334,83.15,0.0,100.0,169.34,16.0,7.85,0.75,0.07
335,61.82,0.0,100.0,382.37,8.0,15.63,0.75,0.07
336,51.15,0.0,100.0,489.04,8.0,17.64,0.75,0.07
337,52.6,0.0,100.0,474.54,8.0,17.14,0.75,0.07
338,26.31,0.0,100.0,737.19,16.0,8.24,0.75,0.07
339,55.12,0.0,100.0,449.36,16.0,8.25,0.75,0.07
340,63.35,0.0,100.0,367.14,4.0,35.93,0.75,0.07
341,52.3,0.0,100.0,477.54,16.0,7.72,0.75,0.09
342,65.12,0.0,100.0,349.48,8.0,20.16,0.75,0.07
343,46.34,0.0,100.0,537.07,8.0,18.54,0.68,0.07
344,72.88,0.0,100.0,271.97,16.0,9.69,0.75,0.09
345,63.87,0.0,100.0,361.96,16.0,8.81,0.75,0.07
346,67.59,0.0,100.0,324.75,8.0,14.51,0.75,0.08
347,57.59,0.0,100.0,424.64,16.0,7.62,0.75,0.1
348,42.53,0.0,100.0,575.16,16.0,9.31,0.75,0.07
349,83.26,0.0,100.0,168.19,16.0,8.82,0.75,0.15
350,55.23,0.0,100.0,448.21,16.0,8.33,0.75,0.07
351,52.16,0.0,100.0,478.94,8.0,17.9,0.72,0.07
352,57.77,0.0,100.0,422.91,16.0,9.93,0.75,0.07
353,44.3,0.0,100.0,557.45,4.0,36.24,0.62,0.09
354,42.66,0.0,100.0,573.85,16.0,10.64,0.75,0.26
355,56.66,0.0,100.0,434.0,16.0,8.03,0.75,0.12
356,70.23,0.0,100.0,298.42,16.0,7.75,0.75,0.07
357,47.29,0.0,100.0,527.56,16.0,8.37,0.75,0.09
358,69.2,0.0,100.0,308.71,4.0,37.59,0.68,0.07
359,53.56,0.0,100.0,464.89,16.0,9.35,0.75,0.08
360,47.75,0.0,100.0,523.0,16.0,8.42,0.75,0.06
361,49.72,0.0,100.0,503.29,16.0,9.33,0.75,0.06
362,58.3,0.0,100.0,417.63,4.0,37.89,0.52,0.07
363,61.31,0.0,100.0,387.55,16.0,9.62,0.75,0.06
364,63.35,0.0,100.0,367.14,16.0,7.72,0.75,0.08
365,62.3,0.0,100.0,377.65,16.0,8.82,0.75,0.08
366,59.95,0.0,100.0,401.06,16.0,8.59,0.75,0.08
367,50.0,0.0,100.0,500.54,16.0,10.57,0.75,0.08
368,36.82,0.0,100.0,632.21,8.0,16.79,0.75,0.07
369,59.38,0.0,100.0,406.81,16.0,8.62,0.75,0.06
370,67.84,0.0,100.0,322.29,8.0,18.67,0.75,0.07
371,47.35,0.0,100.0,526.99,16.0,8.52,0.75,0.06
372,48.17,0.0,100.0,518.81,16.0,10.24,0.75,0.08
373,74.2,0.0,100.0,258.75,16.0,10.79,0.75,0.06
374,80.96,0.0,100.0,191.19,16.0,9.68,0.75,0.07
375,81.34,0.0,100.0,187.45,16.0,9.58,0.75,0.07
376,48.1,0.0,100.0,519.51,8.0,15.34,0.75,0.07
377,48.45,0.0,100.0,515.94,16.0,8.32,0.75,0.07
378,43.94,0.0,100.0,561.07,8.0,19.25,0.75,0.13
379,52.44,0.0,100.0,476.1,16.0,9.89,0.75,0.13
380,38.66,0.0,100.0,613.81,16.0,8.88,0.75,0.16
381,47.26,0.0,100.0,527.85,4.0,32.78,0.75,0.21
382,66.98,0.0,100.0,330.91,16.0,7.72,0.75,0.15
383,57.87,0.0,100.0,421.92,16.0,9.76,0.69,0.13
384,66.14,0.0,100.0,339.25,16.0,10.42,0.75,0.12
385,52.85,0.0,100.0,472.07,8.0,21.67,0.75,0.13
386,47.35,0.0,100.0,526.99,16.0,10.61,0.75,0.13
387,68.86,0.0,100.0,312.1,16.0,9.55,0.75,0.14
388,52.28,0.0,100.0,477.7,4.0,36.09,0.75,0.15
389,44.91,0.0,100.0,551.3,16.0,8.32,0.75,0.15
390,51.82,0.0,100.0,482.3,16.0,7.82,0.75,0.3
391,53.05,0.0,100.0,470.06,8.0,21.24,0.75,0.21
392,31.62,0.0,100.0,684.12,16.0,9.23,0.75,0.18
393,63.04,0.0,100.0,370.19,16.0,8.54,0.69,0.18
394,41.26,0.0,100.0,587.81,4.0,34.85,0.75,0.08
395,57.36,0.0,100.0,426.94,8.0,17.91,0.75,0.09
396,33.58,0.0,100.0,664.57,8.0,18.19,0.75,0.08
397,35.5,0.0,100.0,645.31,16.0,7.81,0.75,0.08
398,49.82,0.0,100.0,502.26,16.0,9.0,0.75,0.08
399,59.06,0.0,100.0,409.97,16.0,9.3,0.75,0.09
400,50.17,0.0,100.0,498.81,16.0,10.06,0.75,0.06
401,47.72,0.0,100.0,523.25,16.0,9.53,0.75,0.07
